Fecha,Ticker,Nombre empresa,Acciones,Dividendo bruto,Porcentaje retencion origen,Retención,Dividendo neto,Moneda
2024-10-15,WPC,W. P. Carey Inc.,10,8.75,0.3,3.937,4.813,USD
2024-10-17,DGE,Diageo plc,34,16.06,0.3,9.434,6.626,GBP
2024-11-01,BATS,British American Tobacco p.l.c.,32,18.84,0.3,10.961,7.879,GBP
2024-11-01,BMY,Bristol-Myers Squibb Company,12,7.2,0.3,3.244,3.956,USD
2024-11-04,UVV,Universal Corporation,10,8.1,0.3,3.649,4.451,USD
2024-11-15,NWN,Northwest Natural Holding Company,15,7.35,0.3,3.353,3.997,USD
2024-12-02,PFE,Pfizer Inc.,40,16.8,0.3,7.836,8.964,USD
2024-12-16,KO,The Coca-Cola Company,10,4.85,0.3,2.262,2.588,USD
2024-12-27,KHC,The Kraft Heinz Company,36,14.4,0.3,6.78,7.62,USD
2024-12-27,TROW,"T. Rowe Price Group, Inc.",5,6.2,0.3,2.918,3.282,USD
2025-01-10,MO,"Altria Group, Inc.",14,14.28,0.3,6.801,7.479,USD
2025-01-10,BEN,"Franklin Resources, Inc.",31,9.92,0.3,4.724,5.196,USD
2025-01-15,WPC,W. P. Carey Inc.,10,8.8,0.3,4.188,4.612,USD
2025-02-03,UVV,Universal Corporation,10,8.1,0.3,3.876,4.224,USD
2025-02-03,BMY,Bristol-Myers Squibb Company,12,7.44,0.3,3.561,3.879,USD
2025-02-03,BATS,British American Tobacco p.l.c.,32,18.84,0.3,11.189,7.651,GBP
2025-02-14,NWN,Northwest Natural Holding Company,15,7.35,0.3,3.466,3.884,USD
2025-03-07,PFE,Pfizer Inc.,40,17.2,0.3,7.738,9.462,USD
2025-03-28,TROW,"T. Rowe Price Group, Inc.",5,6.35,0.3,2.885,3.465,USD
2025-03-28,KHC,The Kraft Heinz Company,36,14.4,0.3,6.54,7.86,USD
2025-04-01,KO,The Coca-Cola Company,10,5.1,0.3,2.2,2.9,USD
2025-04-11,BEN,"Franklin Resources, Inc.",31,9.92,0.3,4.28,5.64,USD
2025-04-15,IIPR,"Innovative Industrial Properties, Inc.",12,22.8,0.3,9.836,12.964,USD
2025-04-15,WPC,W. P. Carey Inc.,10,8.9,0.3,3.84,5.06,USD
2025-04-24,DGE,Diageo plc,34,10.7,0.3,6.282,4.418,GBP
2025-04-30,MO,"Altria Group, Inc.",14,14.28,0.3,6.127,8.153,USD
2025-05-01,BMY,Bristol-Myers Squibb Company,12,7.44,0.3,3.191,4.249,USD
2025-05-05,UVV,Universal Corporation,10,8.1,0.3,3.544,4.556,USD
2025-05-07,BATS,British American Tobacco p.l.c.,32,19.22,0.3,11.256,7.964,GBP
2025-05-15,NWN,Northwest Natural Holding Company,15,7.35,0.3,3.154,4.196,USD
2025-06-13,PFE,Pfizer Inc.,40,17.2,0.3,7.323,9.877,USD
2025-06-27,TROW,"T. Rowe Price Group, Inc.",5,6.35,0.15,2.658,3.692,USD
2025-06-27,KHC,The Kraft Heinz Company,36,14.4,0.3,6.028,8.372,USD
2025-07-01,KO,The Coca-Cola Company,10,5.1,0.15,2.133,2.967,USD
2025-07-10,MO,"Altria Group, Inc.",14,14.28,0.15,5.974,8.306,USD
2025-07-11,BEN,"Franklin Resources, Inc.",31,9.92,0.15,4.151,5.769,USD
2025-07-15,IIPR,"Innovative Industrial Properties, Inc.",12,22.8,0.15,9.54,13.26,USD
2025-07-15,WPC,W. P. Carey Inc.,10,9.0,0.15,3.765,5.235,USD
2025-08-01,BMY,Bristol-Myers Squibb Company,12,7.44,0.15,3.117,4.323,USD
2025-08-01,BATS,British American Tobacco p.l.c.,32,19.22,0.15,8.044,11.176,GBP
2025-08-04,UVV,Universal Corporation,10,8.2,0.15,3.434,4.766,USD
2025-08-15,NWN,Northwest Natural Holding Company,15,7.35,0.15,3.068,4.282,USD
